,Open,High,Low,Close,Adj Close,Volume,rsi,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,volatility,volume_sma
2025-09-12 23:01:09.137170,45000.0,45281.55030649425,44718.44969350575,45000.0,45000.0,828568.4887167434,,,,45000.0,45000.0,0.0,0.0,0.0,,,,,
2025-09-13 03:01:09.137170,45108.55629342972,45406.94892442537,44444.73399268438,44925.841458554874,44925.841458554874,955307.4429348299,,,,44959.83079005055,44961.49460348041,-1.6638134298555087,-0.9243407943641715,-0.7394726354913372,,,,,
2025-09-13 07:01:09.137170,45032.14445102395,45933.83617849949,45282.55072531331,45608.1934519064,45608.1934519064,985434.2174686254,,,,45212.88688671022,45193.84722078082,19.039665929398325,7.2576291743909485,11.782036755007375,,,,,
2025-09-13 11:01:09.137170,45262.74622553862,47549.588856718685,46751.05691224913,47150.32288448391,47150.32288448391,910697.0095865958,,,,45824.45971531781,45740.79231918822,83.66739612958918,33.14169657113831,50.52569955845087,,,,,
2025-09-13 15:01:09.137170,47200.79583030035,47543.9509079703,46736.53397217442,47140.24244007236,47140.24244007236,750852.2442576024,,,,46181.95317905688,46065.330574391715,116.62260466516454,57.97537936921845,58.64722529594609,,,,,
2025-09-13 19:01:09.137170,47231.06221355632,47264.561988475936,47101.138594520344,47182.850291498136,47182.850291498136,823228.5127597734,,,,46425.22383438152,46289.16086071061,136.06297367090883,79.14145901123271,56.92151465967612,,,,,
2025-09-13 23:01:09.137170,47196.58255773863,49064.704139021065,48914.0861398607,48989.39513944088,48989.39513944088,771405.9404338754,,,,46997.409689754684,46769.383529539344,228.0261602153405,116.82020500359084,111.20595521174965,,,,,
2025-09-14 03:01:09.137170,49126.757613192574,50303.81472210212,49945.13664522812,50124.47568366512,50124.47568366512,1216610.2486350555,,,,47649.98016488371,47309.97200913536,340.00815574834996,170.45646661790047,169.5516891304495,,,,,
2025-09-14 07:01:09.137170,49779.20090999364,50629.84710188241,49573.89797999377,50101.87254093809,50101.87254093809,812434.9920169754,,,,48135.05174700909,47723.7929583651,411.2587886439942,226.0829976324079,185.17579101158628,,,,,
2025-09-14 11:01:09.137170,50230.580732067734,51412.79295762493,50885.91851563759,51149.35573663126,51149.35573663126,1103009.5372612097,,,,48706.26118155013,48196.48728183245,509.77389971767843,289.64622793377407,220.12767178390436,,,,,
2025-09-14 15:01:09.137170,51295.35914572181,53221.18767444446,49272.38550467527,51246.786589559866,51246.786589559866,1227113.1280361197,,,,49171.116074821686,48592.112068380906,579.0040064407804,352.95605649925767,226.0479499415227,,,,,
2025-09-14 19:01:09.137170,51413.69513176974,51889.64245243495,50908.94214255272,51399.292297493834,51399.292297493834,936946.1510719309,,,,49567.278492423146,48937.0183906144,630.2601018087444,412.5093357491183,217.75076605962607,,,,,
2025-09-14 23:01:09.137170,51200.67895200939,52734.401686869176,51939.95553381501,52337.17861034209,52337.17861034209,952636.2786519983,,,,50048.23837996739,49335.3465470565,712.8918329108928,476.08070834988433,236.8111245610085,,,,,
2025-09-15 03:01:09.137170,52358.603917625245,51342.66454271627,50846.67474007022,51094.669641393244,51094.669641393244,1462931.7133347017,84.65490687044552,,,50226.412213113144,49532.93946784389,693.4727452692532,521.5592846730384,171.9134605962148,,,,,
2025-09-15 07:01:09.137170,51269.99082996937,51067.31681234021,49195.15065606898,50131.233734204594,50131.233734204594,677456.8257620697,76.29565872887946,,,50210.46818849727,49597.66025198903,612.8079365082376,540.4745362911642,72.3334002170734,,,,,
2025-09-15 11:01:09.137170,50404.185918712465,50645.54846200083,50169.76885398993,50407.65865799538,50407.65865799538,1012856.0038190925,77.52172104600194,,,50243.055468340914,49682.39273923537,560.6627291055411,544.6291158731477,16.03361323239335,,,,,
2025-09-15 15:01:09.137170,50227.37473192951,50829.685444032184,49745.739058575105,50287.712251303645,50287.712251303645,1135919.549786935,74.89988222852372,,,50250.35208677965,49743.83795588641,506.51413089323614,536.8305098819865,-30.31637898875033,,,,,
2025-09-15 19:01:09.137170,50342.138287639755,51935.522827442546,51182.384044326005,51558.95343588428,51558.95343588428,1009114.3679807627,74.15481422222011,,,50462.14672808218,49923.1681651689,538.9785629132821,537.2680016391029,1.7105612741792129,,,,,
2025-09-15 23:01:09.137170,52111.6510032376,51996.17171954656,51322.94400235937,51659.55786095297,51659.55786095297,1126783.8044636021,74.51804588643023,,,50654.40698806484,50090.58125721355,563.8257308512912,542.6572142200083,21.16851663128284,,,,,
2025-09-16 03:01:09.137170,51707.71859826425,52335.900155141615,50258.2228781858,51297.06151666371,51297.06151666371,867642.7070463224,71.57156071932357,49439.632711149236,,50756.90521401156,50204.361515849225,552.5436981623352,544.6575735817244,7.88612458061084,49439.632711149236,54200.53625774367,44678.7291645548,,978347.4582012411
2025-09-16 07:01:09.137170,51093.791591300636,54406.896570073346,53487.171567005134,53947.03406853924,53947.03406853924,977052.7117066202,73.88160021845471,49886.98441457619,,51262.84864068983,50550.32394469475,712.5246959950819,578.543540948246,133.98115504683585,49886.98441457619,54572.19787846331,45201.77095068907,0.018860558726621082,985771.6693507349
2025-09-16 11:01:09.137170,54180.55869331379,55246.81878788202,54691.64353842743,54969.23116315473,54969.23116315473,759940.7185888448,73.59442669291363,50389.15389980619,,51847.88894489673,50951.4300692456,896.4588756511293,642.599255638966,253.8596200121633,50389.15389980619,54987.577621859615,45790.73017775276,0.01879494554869076,976003.3331334356
2025-09-16 15:01:09.137170,54838.694270159416,56583.310478135725,56206.028744539035,56394.66961133738,56394.66961133738,869334.1534852576,76.96241513973146,50928.47770777774,,52562.723595636395,51437.40133207524,1125.3222635611528,739.7171400260493,385.60512353510353,50928.47770777774,55693.09203946128,46163.8633760942,0.019093025904135922,970198.3299342671
2025-09-16 19:01:09.137170,56508.86366027876,57229.7917290177,55244.11634963329,56236.954039325494,56236.954039325494,747823.209132991,73.59782224182375,51382.80926551982,,53138.43678338198,51859.48626980064,1278.9505135813379,848.0755227317344,430.8749908496035,51382.80926551982,56358.74049331115,46406.87803772849,0.018521206851264748,962054.639911587
2025-09-16 23:01:09.137170,56833.67204190383,57657.09483853062,56608.29629466571,57132.695566598166,57132.695566598166,1206493.0521102294,75.4182515299312,51882.4319218461,,53762.520577242554,52316.8823888835,1445.6381883590511,968.0412736501814,477.5969147088697,51882.4319218461,57067.00109656301,46697.86274712919,0.01844961408695012,984836.6803042183
2025-09-17 03:01:09.137170,56994.36757725796,59749.55721114805,57961.09688606696,58855.327048607505,58855.327048607505,1253382.2298373245,78.35373441362695,52466.05575970157,,54556.342760688894,52876.93121158513,1679.4115491037664,1110.7466292132422,568.6649198905243,52466.05575970157,58036.68761503783,46895.423904365314,0.01886038475920797,1006344.3661580959
2025-09-17 07:01:09.137170,58985.93273657787,59629.26152116454,58791.235820444075,59210.24867080431,59210.24867080431,1154926.8106858674,77.34945817961231,52977.09843626975,,55280.286891941476,53413.19956744043,1867.0873245010443,1262.3813986466412,604.7059258544032,52977.09843626975,59056.8385299135,46897.358342626,0.017777436014604634,1025520.4096706957
2025-09-17 11:01:09.137170,59192.62611513112,62010.90200021526,60871.864196024275,61441.38309811977,61441.38309811977,351746.53198618547,88.16876320936319,53542.94380699248,,56237.04773827968,54085.849144123495,2151.198594156187,1440.4893486276071,710.7092455285799,53542.94380699248,60541.86743441009,46544.02017957487,0.01863307568168159,982277.223838252
2025-09-17 15:01:09.137170,61363.79241537911,63267.01796436375,61983.96240085245,62625.490182608104,62625.490182608104,750443.3636070301,95.35260861729623,54169.12468907598,,57227.68233561393,54794.46962523328,2433.212710380649,1639.3417301344336,793.8709802462151,54169.12468907598,62056.33023773011,46281.91914042185,0.018550667686984188,979177.6424177547
2025-09-17 19:01:09.137170,62177.67365848203,65338.81329169334,63239.88016525452,64289.34672847393,64289.34672847393,911991.1026606032,95.77787809089826,54826.12423866811,,58321.37634082921,55575.40070246332,2745.9756383658896,1860.9428406682048,885.0327976976848,54826.12423866811,63772.21983429798,45880.02864303824,0.018745864303150124,969626.7206877244
2025-09-17 23:01:09.137170,64752.63931953023,65756.48855898419,65584.77223640546,65670.63039769483,65670.63039769483,712827.5697641121,96.83248441780893,55547.316429074854,,59458.438679659965,56398.97780548754,3059.4608741724223,2100.8840736565617,958.5768005158607,55547.316429074854,65542.51809625364,45552.11476189607,0.01872071934781194,943912.4427741241
2025-09-18 03:01:09.137170,65673.9904555351,71196.67320187617,69559.44900937595,70378.06110562607,70378.06110562607,803698.2697904098,97.3805428580239,56496.25486948147,,61146.42971849863,57530.9057710088,3615.5239474898262,2404.0522429931075,1211.4717044967188,56496.25486948147,68277.41259953787,44715.097139425074,0.022728593124608044,937250.048710048
2025-09-18 07:01:09.137170,70448.10828271975,73212.13313297578,72538.61386732271,72875.37350014925,72875.37350014925,879956.6245682411,97.6626243756933,57523.16461397182,,62958.19281022701,58764.87991045939,4193.312899767618,2762.1313339352905,1431.1815658323271,57523.16461397182,71205.00972852754,43841.31949941611,0.023138330353197095,933616.0660058601
