timestamp,open,high,low,close,volume,sma_20,sma_50,ema_12,ema_26,rsi,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower
2025-08-01,4200.0,4224.626882925264,4090.2215787935042,4092.97171196159,55111.656434250246,4092.97171196159,4092.97171196159,4092.97171196159,4092.97171196159,0.0,0.0,0.0,0.0,4092.97171196159,,
2025-08-02,4092.97171196159,4160.703289881764,3927.524495406373,3968.5652570665266,217897.9537988262,4030.7684845140584,4030.7684845140584,4025.584882226764,4028.376052689153,0.0,-2.791170462388891,-1.5506502568827172,-1.2405202055061737,4030.7684845140584,4206.705780273413,3854.831188754703
2025-08-03,3968.5652570665266,4051.6734822059684,3960.974026232607,4034.9201600960973,115001.1416658356,4032.1523763747377,4032.1523763747377,4029.228443335118,4030.727286942313,34.78424758104411,-1.4988436071953402,-1.5294180234042838,0.030574416208943633,4032.1523763747377,4156.651163114779,3907.6535896346973
2025-08-04,4034.9201600960973,4265.016667459187,4019.4270261599577,4232.561934095708,262367.6024574041,4082.2547658049807,4082.2547658049807,4093.412880001931,4087.151434197174,67.96976011007047,6.261445804757386,1.1097634902006177,5.151682314556768,4082.2547658049807,4306.970785317927,3857.5387462920344
2025-08-05,4232.561934095708,4235.734990858322,4132.267588142614,4186.614076148036,110041.96736603792,4103.126627873591,4103.126627873591,4118.735311895928,4110.217231109085,60.779573014608694,8.518080786842802,3.3135703966267784,5.204510390216024,4103.126627873591,4318.96374144197,3887.2895143052115
2025-08-06,4186.614076148036,4192.013207445401,4101.751471091668,4187.9517180406,94584.2948636572,4117.264142901427,4117.264142901427,4135.558540050679,4125.786828853441,60.8999867283228,9.771711197237892,5.064085619274859,4.707625577963032,4117.264142901427,4322.362635393979,3912.1656504088737
2025-08-07,4187.9517180406,4209.691028592165,4020.725673663754,4024.5337626806304,51976.67601704083,4104.016945727027,4104.016945727027,4110.783749426608,4107.779495916588,44.28833276478707,3.004253510020135,4.542797063742796,-1.5385435537226613,4104.016945727027,4303.9373387395935,3904.0965527144604
2025-08-08,4024.5337626806304,4138.025814327187,3996.2874981829245,4137.171540518407,130429.9101561415,4108.16127007595,4108.16127007595,4116.290474709641,4112.515282587597,53.10503537027041,3.7751921220442455,4.358327161438506,-0.5831350393942607,4108.16127007595,4294.730397938223,3921.5921422136757
2025-08-09,4137.171540518407,4233.311825675918,4118.3783808281905,4203.411855260812,126613.6637182572,4118.744668429823,4118.744668429823,4133.526184691704,4125.988150104503,57.09783535455506,7.538034587200855,5.092855351399491,2.4451792358013638,4118.744668429823,4304.457710737524,3933.031626122121
2025-08-10,4203.411855260812,4248.525690986239,4165.129800011643,4230.461869521403,77742.75905171821,4129.916388538981,4129.916388538981,4151.895459293421,4140.404506573931,58.53939330747537,11.490952719489542,6.526400570894172,4.96455214859537,4129.916388538981,4318.727084898092,3941.1056921798704
2025-08-11,4230.461869521403,4243.032965715244,4131.670740013595,4137.064022327002,68803.89166850738,4130.566173428801,4130.566173428801,4149.18166393977,4139.971244708837,52.4538464683919,9.21041923093344,7.1136485173997155,2.096770713533724,4130.566173428801,4309.739577848612,3951.3927690089918
2025-08-12,4137.064022327002,4336.019729669152,4114.208512899846,4299.157601992186,77827.64237570368,4144.6154591424165,4144.6154591424165,4175.846893375546,4159.529796906854,59.720924642044864,16.31709646869149,9.090163159633411,7.226933309058078,4144.6154591424165,4341.234382456944,3947.9965358278887
2025-08-13,4299.157601992186,4364.359858309453,4154.449741592797,4192.867557957641,104076.57765463338,4148.3271590512795,4148.3271590512795,4178.802327353245,4163.435309600703,54.280702007872904,15.367017752542779,10.418563668507833,4.948454084034946,4148.3271590512795,4338.46870325283,3958.185614849729
