timestamp,open,high,low,close,volume,close_time,rsi,macd,macd_signal,stoch_k,stoch_d,cci,adx,plus_di,minus_di,atr,bb_upper,bb_lower,ma_20,ma_50,rsi_14,atr_14,volatility_20,returns,cum_return,volume_zscore,bullish_cross,bearish_cross
1753547516726,10393.635520277443,11518.74784711471,9648.256954077822,10701.175232288879,38.79945472888746,1753551116726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1753551116726,10473.435659375022,11051.165506445475,9172.386362105166,10580.063402528966,186.77252823112934,1753554716726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011317619525982536,-0.011317619525982536,0.0,0,0
1753554716726,10854.54739320218,11232.858556876094,9872.394563354816,10974.453179844524,831.2458050899425,1753558316726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03727669318326465,0.025537190226647244,0.0,0,0
1753558316726,10340.004386059893,11492.001729432082,9613.11623906924,10509.969234734519,766.7683563383357,1753561916726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04232410831758504,-0.017867756896217224,0.0,0,0
1753561916726,10869.649684812171,11310.235283744705,9157.203883556955,10584.766154426334,350.6426914571469,1753565516726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007116759147554719,-0.010878158270999916,0.0,0,0
1753565516726,10088.134430976692,11181.763597761194,9962.338057481207,11307.625869562975,376.8106277742125,1753569116726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06829245961511932,0.056671405159710364,0.0,0,0
1753569116726,10776.79843720863,11504.13284191844,9518.36546333532,11271.473344859607,533.5544335535794,1753572716726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003197180833571789,0.05329303559575038,0.0,0,0
1753572716726,10847.547633054737,11322.80979344785,9072.898451871655,11415.138820404896,0.2410046851345493,1753576316726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012745935792928709,0.06671824099859269,0.0,0,0
1753576316726,10181.817652837339,11258.107643173415,9626.832904415067,11354.51543591075,241.24433603802785,1753579916726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0053107881952150215,0.06105312635667692,0.0,0,0
1753579916726,10430.346532372201,11463.98541744038,9253.198907012811,11183.175563239818,208.23180860821444,1753583516726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01509002067398113,0.0450418127437624,0.0,0,0
1753583516726,10165.499774663656,11133.284258082173,9803.693451877303,10552.332857300662,250.48294674976347,1753587116726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05640997964950112,-0.013908974645990946,0.0,0,0
1753587116726,10706.604128994219,11927.745733075408,9817.82207356619,11282.848617986658,805.9058425334413,1753590716726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0692278921225069,0.05435602848018872,0.0,0,0
1753590716726,10535.347768061656,11867.702097919238,9978.947355854662,11345.51081084056,279.6738565464432,1753594316726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005553756411657229,0.06021166503353004,0.0,0,0
1753594316726,10635.323346708321,11707.620585740535,9501.869531024504,11299.082145771954,191.52132205014817,1753597916726,57.88078709032019,0.0,0.0,77.97908170280911,0.0,0.0,0.0,0.0,0.0,1869.9827982827221,0.0,0.0,0.0,0.0,58.168411188382294,1869.9827982827217,0.0,-0.004092249863641539,0.055873013991865506,0.0,0,0
1753597916726,10196.48696695621,11106.213827588455,9454.956879727737,11008.479035308026,504.2634607930315,1753601516726,51.21876570810412,0.0,0.0,67.79979427201546,0.0,0.0,0.0,0.0,0.0,1868.1358316942574,0.0,0.0,0.0,0.0,53.88945297221721,1868.0995392118168,0.0,-0.025719178488552652,0.028716827483762586,0.0,0,0
1753601516726,10211.74586205242,11775.877254469693,9753.475605446481,10732.90183864948,865.645036372732,1753605116726,45.83155580952826,0.0,0.0,58.14683670497014,67.97523755993157,0.0,0.0,5.990994610486574,10.511761073364818,1879.1548186463256,0.0,0.0,0.0,0.0,51.861639752540505,1878.3582895463098,0.0,-0.025033176315699346,0.002964777762434645,0.0,0,0
1753605116726,10041.497325509907,11807.95732810902,9132.470656341926,11345.329975688726,241.34970383749987,1753608716726,56.725063989724816,0.0,0.0,79.5990573218647,68.51522943295011,0.0,0.0,5.399613632352811,11.765315586691775,1936.0356652978091,0.0,0.0,0.0,0.0,54.289596871150714,1972.2884808495824,0.0,0.05706081600726787,0.06019476640810728,0.0,0,0
1753608716726,10322.067535195729,11767.764617714338,9546.915513793125,11227.162809740139,78.53624279279869,1753612316726,54.449738320310914,0.0,0.0,75.45988088582214,71.06859163755233,0.0,0.0,4.961782084003078,10.811316524744088,1956.379482342338,0.0,0.0,0.0,0.0,59.01753060574006,1996.7144532466089,0.0,-0.010415489562824676,0.049152318884022383,0.0,0,0
1753612316726,10559.744661333674,11113.96588711924,9546.247600130851,11480.761174388852,356.4047358496647,1753615916726,58.31421644570807,0.0,0.0,84.34296077308612,79.80063299359098,0.0,0.0,4.654173550399757,10.143526141238683,1936.7034628614058,0.0,0.0,0.0,0.0,60.78092556384924,1962.99186820529,0.0,0.022587929733120404,0.072850497742315,0.0,0,0
1753615916726,10857.93491399733,11643.907957067764,9089.473122810386,10655.692597755933,747.6518245649778,1753619516726,44.952029040450554,0.0,0.0,55.44234034182344,71.74839400024389,-89.65895218357606,0.0,6.136452746569419,9.209165228478392,1980.8271322468322,11707.995619918358,10373.250190204868,11040.622905061613,0.0,42.34401924022781,2058.3496749179612,342.3549791076591,-0.07186532008639568,-0.004250246682785397,1.279278665465042,0,0
1753619516726,10666.92744745868,11834.324795749399,9417.984085506914,10725.664583052056,550.6905446947947,1753623116726,46.08044252104867,0.0,0.0,57.89332907795712,65.89287673095556,-7.651342763124388,0.0,6.286058953527188,8.419139156838499,2011.9352449608075,11706.80988858297,10376.884856616574,11041.847372599772,0.0,43.64080503625345,2089.1049128936297,341.11857317341935,0.00656662949444109,0.0022884730164298706,0.4966325424113683,0,0
1753623116726,10435.396323399751,11577.353401219667,9853.284798567202,10711.798149881502,816.7933695743475,1753626716726,45.879730649874176,0.0,0.0,57.15888675399763,56.83151872459273,7.302218541542838,0.0,5.89732096834926,7.898488743446248,1991.3733419387831,11697.386510461163,10399.481709473634,11048.434109967398,0.0,41.5498262689497,2051.5447172562203,332.90555722014864,-0.0012928274106636106,0.000992687005122006,1.3356635435135136,0,0
