timestamp,open,high,low,close,volume,ma_20,ma_50,rsi_14,macd,macd_signal,atr_14,volatility_20,returns,cum_return,volume_zscore,bullish_cross,bearish_cross,rsi,stoch_k,stoch_d,cci,adx,plus_di,minus_di,atr,bb_upper,bb_lower
2024-01-01 00:00:00,99.5,101.0,99.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,99.6,101.1,99.1,100.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009999999999998899,0.0009999999999998899,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,99.7,101.2,99.2,100.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009990009990010762,0.0020000000000000018,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,99.8,101.3,99.3,100.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009980039920158834,0.0029999999999998916,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,99.9,101.4,99.4,100.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009970089730808596,0.0040000000000000036,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,100.0,101.5,99.5,100.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009960159362549792,0.004999999999999893,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 06:00:00,100.1,101.6,99.6,100.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218638,0.005999999999999783,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 07:00:00,100.2,101.7,99.7,100.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009940357852884496,0.006999999999999895,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 08:00:00,100.3,101.8,99.8,100.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009930486593843213,0.008000000000000007,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 09:00:00,100.4,101.9,99.9,100.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009920634920634885,0.008999999999999897,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 10:00:00,100.5,102.0,100.0,101.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009910802775023875,0.009999999999999787,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 11:00:00,100.6,102.1,100.1,101.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000990099009900991,0.010999999999999677,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 12:00:00,100.7,102.2,100.2,101.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009891196834816984,0.011999999999999567,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:00:00,100.8,102.3,100.3,101.3,100,0.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0009881422924900019,0.012999999999999456,0.0,0,0,100.0,69.69696969696967,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
